series_index,timestamp_utc,elapsed_seconds,cadence_seconds
1,2025-04-25T09:08:43.617Z,0.000,
2,2025-04-25T09:09:27.455Z,43.838,43.838
3,2025-04-25T09:10:11.964Z,88.347,44.509
4,2025-04-25T09:10:55.180Z,131.563,43.216
5,2025-04-25T09:11:40.688Z,177.071,45.508
6,2025-04-25T09:12:25.002Z,221.385,44.314
7,2025-04-25T09:13:09.316Z,265.699,44.314
8,2025-04-25T09:13:53.533Z,309.916,44.217
9,2025-04-25T09:14:37.944Z,354.327,44.411
10,2025-04-25T09:15:21.355Z,397.738,43.411
11,2025-04-25T09:16:06.964Z,443.347,45.609
12,2025-04-25T09:16:50.276Z,486.659,43.312
13,2025-04-25T09:17:35.689Z,532.072,45.413
14,2025-04-25T09:18:19.903Z,576.286,44.214
15,2025-04-25T09:19:03.220Z,619.603,43.317
16,2025-04-25T09:19:48.629Z,665.012,45.409
17,2025-04-25T09:20:33.042Z,709.425,44.413
18,2025-04-25T09:21:17.550Z,753.933,44.508
19,2025-04-25T09:22:01.866Z,798.249,44.316
20,2025-04-25T09:22:45.373Z,841.756,43.507
21,2025-04-25T09:23:30.687Z,887.070,45.314
22,2025-04-25T09:24:15.098Z,931.481,44.411
23,2025-04-25T09:24:59.705Z,976.088,44.607
24,2025-04-25T09:25:44.310Z,1020.693,44.605
25,2025-04-25T09:26:28.530Z,1064.913,44.220
26,2025-04-25T09:27:12.743Z,1109.126,44.213
27,2025-04-25T09:27:57.286Z,1153.669,44.543
28,2025-04-25T09:28:41.892Z,1198.275,44.606
29,2025-04-25T09:29:25.273Z,1241.656,43.381
30,2025-04-25T09:30:10.779Z,1287.162,45.506
